config,kv,spec,extra,max_model_len,context_tokens,prefill_tps,decode_tps,peak_tps,ttft_ms
A_nvfp4_n0,auto,none (n=0),-,262144,0,1726.18,18.27,20.0,426.8
A_nvfp4_n0,auto,none (n=0),-,262144,512,2304.45,18.41,20.0,606.6
A_nvfp4_n0,auto,none (n=0),-,262144,1024,3354.62,18.99,20.0,580.7
A_nvfp4_n0,auto,none (n=0),-,262144,2048,2843.2,18.62,20.0,1023.2
A_nvfp4_n0,auto,none (n=0),-,262144,3072,3139.11,18.56,19.0,1264.6
A_nvfp4_n0,auto,none (n=0),-,262144,4096,2905.86,18.52,19.0,1708.3
A_nvfp4_n0,auto,none (n=0),-,262144,6144,2897.48,18.44,19.0,2419.9
A_nvfp4_n0,auto,none (n=0),-,262144,8192,2882.68,18.33,19.0,3142.3
A_nvfp4_n0,auto,none (n=0),-,262144,12288,2830.4,18.18,19.0,4645.3
A_nvfp4_n0,auto,none (n=0),-,262144,16384,2584.7,18.03,19.0,6698.0
A_nvfp4_n0,auto,none (n=0),-,262144,24576,2573.93,17.76,19.0,9892.5
A_nvfp4_n0,auto,none (n=0),-,262144,32768,2407.79,17.82,19.0,13947.8
A_nvfp4_n0,auto,none (n=0),-,262144,49152,2327.92,17.31,19.0,21458.9
A_nvfp4_n0,auto,none (n=0),-,262144,65536,2235.24,16.49,18.0,29681.4
D_dflash_n1,auto,DFlash n=1,-,262144,0,2200.16,23.38,27.5,422.5
D_dflash_n1,auto,DFlash n=1,-,262144,512,2905.09,23.14,27.5,543.1
D_dflash_n1,auto,DFlash n=1,-,262144,1024,3248.42,21.08,25.5,663.3
D_dflash_n1,auto,DFlash n=1,-,262144,2048,2714.68,23.58,28.5,1133.7
D_dflash_n1,auto,DFlash n=1,-,262144,3072,3023.99,22.0,26.5,1375.7
D_dflash_n1,auto,DFlash n=1,-,262144,4096,2780.79,21.87,29.0,1847.3
D_dflash_n1,auto,DFlash n=1,-,262144,6144,2777.57,22.35,27.0,2586.8
D_dflash_n1,auto,DFlash n=1,-,262144,8192,2761.86,21.44,26.0,3341.9
D_dflash_n1,auto,DFlash n=1,-,262144,12288,2729.73,22.06,27.5,4879.7
D_dflash_n1,auto,DFlash n=1,-,262144,16384,2679.42,19.89,26.0,6496.5
D_dflash_n1,auto,DFlash n=1,-,262144,24576,2592.43,20.84,26.5,9868.1
D_dflash_n1,auto,DFlash n=1,-,262144,32768,2505.49,19.51,23.0,13474.6
D_dflash_n1,auto,DFlash n=1,-,262144,49152,2345.85,20.1,26.0,21365.1
D_dflash_n1,auto,DFlash n=1,-,262144,65536,2178.57,20.02,25.0,30513.0
C_dflash_n3,auto,DFlash n=3,-,262144,0,2111.53,25.45,34.0,431.0
C_dflash_n3,auto,DFlash n=3,-,262144,512,2802.31,24.61,34.0,554.2
C_dflash_n3,auto,DFlash n=3,-,262144,1024,3146.07,23.26,33.5,677.1
